iter	Passed	Remaining
0	1	124
1	2	105
2	2	96
3	3	88
4	4	93
5	5	90
6	6	87
7	7	83
8	7	79
9	8	77
10	9	74
11	9	72
12	10	70
13	11	68
14	11	67
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	60
22	17	58
23	18	58
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	34	41
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	41	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
