iter	Passed	Remaining
0	2	2101
1	3	1847
2	5	1951
3	6	1667
4	7	1474
5	8	1374
6	9	1295
7	9	1227
8	10	1175
9	11	1131
10	12	1101
11	13	1093
12	14	1107
13	15	1085
14	16	1064
15	17	1049
16	17	1037
17	19	1061
18	20	1057
19	21	1039
20	22	1030
21	22	1019
22	23	1015
23	24	1004
24	25	992
25	26	985
26	27	976
27	27	971
28	28	963
29	29	962
30	30	963
31	32	984
32	33	978
33	34	972
34	35	966
35	35	961
36	36	954
37	37	947
38	38	947
39	39	943
40	40	940
41	41	937
42	42	937
43	42	933
44	43	930
45	44	929
46	45	930
47	47	944
48	48	940
49	49	935
50	50	931
51	50	926
52	51	921
53	52	918
54	53	917
55	54	912
56	54	909
57	55	906
58	56	903
59	57	901
60	58	896
61	59	894
62	60	894
63	61	899
64	62	902
65	63	898
66	64	894
67	65	891
68	65	887
69	66	881
70	67	880
71	69	889
72	69	888
73	70	887
74	71	883
75	72	882
76	73	882
77	74	882
78	75	882
79	76	880
80	77	878
81	78	873
82	78	866
83	79	862
84	79	859
85	80	856
86	81	858
87	82	856
88	84	866
89	85	864
90	86	861
91	87	858
92	87	856
93	88	852
94	89	848
95	89	844
96	90	841
97	91	839
98	92	840
99	93	842
100	94	844
101	95	844
102	96	842
103	97	840
104	98	838
105	99	836
106	99	833
107	100	830
108	101	826
109	101	824
110	102	821
111	103	819
112	104	818
113	105	823
114	106	822
115	107	822
116	108	818
117	109	815
118	109	812
119	110	809
120	110	806
121	111	803
122	112	800
123	113	801
124	114	798
125	114	795
126	115	792
127	116	790
128	116	788
129	117	788
130	118	786
131	119	788
132	120	785
133	121	787
134	122	785
135	123	781
136	123	778
137	124	776
138	124	773
139	125	771
140	126	769
141	126	766
142	127	764
143	128	763
144	129	761
145	129	759
146	130	757
147	131	754
148	131	752
149	132	749
150	132	747
151	133	744
152	134	741
153	134	739
154	135	736
155	135	734
156	136	731
157	136	729
158	137	728
159	138	726
160	138	722
161	139	720
162	139	718
163	140	717
164	141	715
165	142	714
166	142	712
167	143	711
168	144	710
169	145	708
170	145	706
171	146	703
172	146	701
173	147	699
174	147	697
175	148	695
176	149	693
177	149	690
178	150	688
179	150	686
180	151	684
181	151	682
182	152	680
183	153	678
184	153	676
185	154	675
